,<http://dbpedia.org/ontology/areaTotal>,<http://www.w3.org/2003/01/geo/wgs84_pos#long>,<http://dbpedia.org/ontology/populationTotal>,<http://dbpedia.org/ontology/thumbnail>,<http://dbpedia.org/ontology/isPartOf>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://www.georss.org/georss/point>,<http://dbpedia.org/ontology/country>,<http://purl.org/dc/terms/subject>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://www.w3.org/2003/01/geo/wgs84_pos#lat>,<http://dbpedia.org/ontology/elevation>,<http://xmlns.com/foaf/0.1/depiction>
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PopulatedPlacesInTheMunicipalityOf%C5%A0kocjan>,,,,X,X,,,,X,X,,,,X
"<http://www.w3.org/2003/01/geo/wgs84_pos#lat>:-:""45.9213""^^<http://www.w3.org/2001/XMLSchema#float>",,,,,,,X,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Site108651247>,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/PopulatedPlace>,,,,,,,,,X,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Location100027167>,,,,,,,,,,X,,,,
<http://dbpedia.org/ontology/thumbnail>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Slovenia.svg?width=300>,,,,X,X,,,X,X,,,,,X
"<http://xmlns.com/foaf/0.1/name>:-:""Stara Bučka""@en",,,,,,X,,,,,X,,,
<http://dbpedia.org/ontology/isPartOf>:-:<http://dbpedia.org/resource/Southeast_Slovenia_Statistical_Region>,,,,,X,,,X,X,X,,,,
"<http://dbpedia.org/ontology/elevation>:-:""262.2""^^<http://www.w3.org/2001/XMLSchema#double>",,,,,,,,,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Place>,,,,,,,,,,X,,,,
<http://xmlns.com/foaf/0.1/depiction>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Slovenia.svg>,,,,X,X,,,X,X,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Region108630985>,,,,,X,,,,,X,,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Stara Bučka""@en",,,,,,X,,,,,X,,,
"<http://www.georss.org/georss/point>:-:""45.9213 15.306447222222221""",,X,,,,,X,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity>,,,,,,,,,,X,,,,
<http://dbpedia.org/ontology/isPartOf>:-:<http://dbpedia.org/resource/Municipality_of_Škocjan>,,,,X,X,,,,X,X,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PhysicalEntity100001930>,,,,,,,,,,X,,,,
<http://dbpedia.org/ontology/isPartOf>:-:<http://dbpedia.org/resource/Lower_Carniola>,,,,,X,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoLegalActorGeo>,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Tract108673395>,,,,,,,,,,X,,,,
"<http://dbpedia.org/ontology/areaTotal>:-:""2950000.0""^^<http://www.w3.org/2001/XMLSchema#double>",X,,,,,,,,,,,,,
"<http://www.w3.org/2003/01/geo/wgs84_pos#long>:-:""15.306447""^^<http://www.w3.org/2001/XMLSchema#float>",,X,,,,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/AdministrativeDistrict108491826>,,,,,,,,,X,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoGeoEntity>,,,,,,,,,,X,,,,
"<http://dbpedia.org/ontology/populationTotal>:-:""101""^^<http://www.w3.org/2001/XMLSchema#nonNegativeInteger>",,,X,,,,,,X,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Object100002684>,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/District108552138>,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Settlement>,,,,,,,,,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Populated_places_in_the_Municipality_of_Škocjan>,,,,X,X,,,,X,X,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/GeographicalArea108574314>,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Location>,,,,,,,,,,X,,,,
<http://dbpedia.org/ontology/country>:-:<http://dbpedia.org/resource/Slovenia>,,,,,X,,,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Place>,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing>,,,,,,,,,X,X,,,,
