,<http://dbpedia.org/ontology/basedOn>,<http://dbpedia.org/ontology/deathYear>,<http://dbpedia.org/ontology/birthDate>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://xmlns.com/foaf/0.1/givenName>,<http://dbpedia.org/ontology/deathDate>,<http://dbpedia.org/ontology/birthYear>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/imdbId>,<http://xmlns.com/foaf/0.1/name>,<http://purl.org/dc/elements/1.1/description>,<http://xmlns.com/foaf/0.1/surname>,<http://dbpedia.org/ontology/writer>
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Whole100003553>,,,,X,,,,,,,,,,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Women_television_writers>,,,,X,,,,,X,,,X,,X
"<http://dbpedia.org/ontology/birthYear>:-:""1905""^^<http://www.w3.org/2001/XMLSchema#gYear>",,,,,,,,X,X,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PhysicalEntity100001930>,,,,X,,,,,,,,,,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:American_television_writers>,,,,X,,,,,X,,,X,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/WomenTelevisionWriters>,,,,X,,,,,X,,,X,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Writer110794014>,,,,X,,,,,,,,X,,X
<http://dbpedia.org/ontology/writer>:-:<http://dbpedia.org/resource/Bringing_Up_Baby>,,,,,,,,,,,,,,X
<http://dbpedia.org/ontology/writer>:-:<http://dbpedia.org/resource/I_Was_a_Male_War_Bride>,,,,,,,,,,,,,,X
"<http://purl.org/dc/elements/1.1/description>:-:""American writer""",,,,X,,,,,X,,,X,,X
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Hagar Wilde""@en",,,,,X,X,,,,,X,,X,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Place_of_birth_missing>,,,,,,,,,X,,,,,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:1971_deaths>,,X,,,,,,,X,,,,,X
"<http://dbpedia.org/ontology/writer>:-:<http://dbpedia.org/resource/Red,_Hot_and_Blue_(film)>",,,,,,,,,,,,,,X
"<http://xmlns.com/foaf/0.1/name>:-:""Hagar Wilde""@en",,,,,X,X,,,,,X,,X,X
"<http://dbpedia.org/ontology/imdbId>:-:""0928444""",,,,,,,,,,X,,,,
