,<http://dbpedia.org/ontology/thumbnail>,<http://dbpedia.org/ontology/genus>,<http://dbpedia.org/ontology/binomialAuthority>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/kingdom>,<http://dbpedia.org/ontology/order>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/class>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://dbpedia.org/ontology/conservationStatus>,<http://dbpedia.org/ontology/family>,<http://xmlns.com/foaf/0.1/depiction>,<http://dbpedia.org/ontology/conservationStatusSystem>,<http://dbpedia.org/ontology/phylum>
<http://dbpedia.org/ontology/thumbnail>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Amphisbaena_ridleyi_distribution.png?width=300>,X,X,,X,,,X,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Eukaryote>,,,,,,,,,X,,,,,
<http://dbpedia.org/ontology/family>:-:<http://dbpedia.org/resource/Amphisbaenidae>,,,,,,,,,,,X,,,
<http://xmlns.com/foaf/0.1/depiction>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Amphisbaena_ridleyi_distribution.png>,X,X,,X,,,X,,,,,X,,
<http://dbpedia.org/ontology/binomialAuthority>:-:<http://dbpedia.org/resource/George_Albert_Boulenger>,,,X,,,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Object100002684>,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Reptile101661091>,,,,,,,,X,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Animal>,,,,,X,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PhysicalEntity100001930>,,,,,,,,,X,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Reptiles_of_Brazil>,,,,,,,X,X,X,,,,,
<http://dbpedia.org/ontology/genus>:-:<http://dbpedia.org/resource/Amphisbaena_(genus)>,X,X,,X,,,X,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Species>,,,,,,,,,X,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Endemic_fauna_of_Brazil>,,,,,,,X,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Organism100004475>,,,,,,,,,X,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Fernando_de_Noronha>,,,,,,,X,,,,,,,
<http://dbpedia.org/ontology/order>:-:<http://dbpedia.org/resource/Amphisbaenia>,,,,,,X,,,,,,,,
<http://dbpedia.org/ontology/class>:-:<http://dbpedia.org/resource/Reptile>,,,,,,,,X,X,,,,,
"<http://dbpedia.org/ontology/conservationStatus>:-:""LC""",,,,,,,,,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Amphisbaena>,X,X,,X,,,X,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Whole100003553>,,,,,,,,,X,,,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Amphisbaena ridleyi""@en",X,X,,X,,,X,,,,,X,,
<http://dbpedia.org/ontology/phylum>:-:<http://dbpedia.org/resource/Chordate>,,,,,,,,,X,,,,,X
<http://dbpedia.org/ontology/order>:-:<http://dbpedia.org/resource/Squamata>,,,,,,X,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Chordate101466257>,,,,,,,,,X,,,,,X
"<http://dbpedia.org/ontology/conservationStatusSystem>:-:""IUCN3.1""",,,,,,,,,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Reptile>,,,,,,,,X,X,,,,,
<http://dbpedia.org/ontology/phylum>:-:<http://dbpedia.org/resource/Vertebrate>,,,,,,,,,X,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Vertebrate101471682>,,,,,,,,,X,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Animal100015388>,,,,,X,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/ReptilesOfBrazil>,,,,,,,X,X,X,,,,,
<http://dbpedia.org/ontology/kingdom>:-:<http://dbpedia.org/resource/Animal>,,,,,X,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/LivingThing100004258>,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q19088>,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q729>,,,,,,,,,X,,,,,
