,<http://dbpedia.org/ontology/division>,<http://dbpedia.org/ontology/thumbnail>,<http://dbpedia.org/ontology/genus>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/kingdom>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/class>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/family>,<http://xmlns.com/foaf/0.1/depiction>,<http://dbpedia.org/ontology/order>
<http://dbpedia.org/ontology/genus>:-:<http://dbpedia.org/resource/Balanites_maughamii>,,,X,X,,X,,,X,,,
<http://dbpedia.org/ontology/order>:-:<http://dbpedia.org/resource/Zygophyllales>,,,,,,,,,,,,X
"<http://xmlns.com/foaf/0.1/name>:-:""Balanites""@en",,,X,X,,X,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Plant>,X,,,,X,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Eukaryote>,,,,,,,,X,,,,
<http://dbpedia.org/ontology/division>:-:<http://dbpedia.org/resource/Flowering_plant>,X,,,,X,,,X,,,,
<http://dbpedia.org/ontology/kingdom>:-:<http://dbpedia.org/resource/Plant>,X,,,,X,,,X,,,,
<http://dbpedia.org/ontology/genus>:-:<http://dbpedia.org/resource/Balanites_aegyptiaca>,,,X,X,,X,,,X,,,
<http://dbpedia.org/ontology/family>:-:<http://dbpedia.org/resource/Zygophyllaceae>,,,,,,,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Balanites>,,,X,X,,X,,,X,,,
<http://dbpedia.org/ontology/thumbnail>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Zarga_mountains_(11).jpg?width=300>,,X,,,,,,,,,X,
<http://dbpedia.org/ontology/genus>:-:<http://dbpedia.org/resource/Balanites_roxburghii>,,,X,X,,X,,,X,,,
<http://xmlns.com/foaf/0.1/depiction>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Zarga_mountains_(11).jpg>,,X,,,,,,,,,X,
<http://dbpedia.org/ontology/class>:-:<http://dbpedia.org/resource/Eudicots>,,,,,,,X,,,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Balanites""@en",,,X,X,,X,,,X,,,
<http://dbpedia.org/ontology/order>:-:<http://dbpedia.org/resource/Rosids>,,,,,,,,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Species>,,,,,,,,X,,,,
<http://dbpedia.org/ontology/family>:-:<http://dbpedia.org/resource/Tribuloideae>,,,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q19088>,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q756>,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,X,,,,
