,<http://dbpedia.org/ontology/thumbnail>,<http://dbpedia.org/ontology/phylum>,<http://dbpedia.org/ontology/genus>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/kingdom>,<http://dbpedia.org/ontology/synonym>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/order>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/family>,<http://xmlns.com/foaf/0.1/depiction>,<http://dbpedia.org/ontology/class>
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Species>,,,,,,,,,X,,,,
"<http://dbpedia.org/ontology/synonym>:-:""*Hilarographa pyranthis (Meyrick, 1907)""",,,X,X,,X,,,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Hilarographini>,,,,,,,X,,,,,,
"<http://xmlns.com/foaf/0.1/depiction>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/03-Thaumatographa_excellens_Pagenstecher,_1900.JPG>",X,,,X,,X,X,,,X,,X,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Hilarographa excellens""@en",X,,X,X,,X,,,,X,,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Moths_described_in_1900>,,,,,,,X,,,,,,
<http://dbpedia.org/ontology/phylum>:-:<http://dbpedia.org/resource/Arthropod>,,X,,,,,,,,,,,
<http://dbpedia.org/ontology/order>:-:<http://dbpedia.org/resource/Lepidoptera>,,,,,,,,X,,,,,
<http://dbpedia.org/ontology/family>:-:<http://dbpedia.org/resource/Tortricidae>,,,,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Insect>,,,,,,,X,,X,,,,X
<http://dbpedia.org/ontology/class>:-:<http://dbpedia.org/resource/Insect>,,,,,,,X,,X,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Eukaryote>,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Animal>,,,,,X,,,,X,,,,
"<http://dbpedia.org/ontology/thumbnail>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/03-Thaumatographa_excellens_Pagenstecher,_1900.JPG?width=300>",X,,,X,,X,X,,,X,,X,
<http://dbpedia.org/ontology/kingdom>:-:<http://dbpedia.org/resource/Animal>,,,,,X,,,,X,,,,
"<http://dbpedia.org/ontology/synonym>:-:""*Thaumatographa excellens (Pagenstecher, 1900)""",X,,,X,,X,X,,,X,,X,
<http://dbpedia.org/ontology/genus>:-:<http://dbpedia.org/resource/Hilarographa>,,,X,X,,,,,,X,,,
"<http://xmlns.com/foaf/0.1/name>:-:""Hilarographa excellens""@en",X,,X,X,,X,,,,X,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q19088>,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q1390>,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q729>,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,X,,X,,,,
