,<http://dbpedia.org/ontology/division>,<http://dbpedia.org/ontology/thumbnail>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/kingdom>,<http://dbpedia.org/ontology/synonym>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/order>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/family>,<http://xmlns.com/foaf/0.1/depiction>,<http://dbpedia.org/ontology/class>
<http://dbpedia.org/ontology/family>:-:<http://dbpedia.org/resource/Fabaceae>,,,,,,,,,,X,,
"<http://dbpedia.org/ontology/synonym>:-:""*IRLC""",,,,,X,,,,,,,
<http://xmlns.com/foaf/0.1/depiction>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Galega_officinalis2UME.jpg>,,X,,,,,,,,,X,
<http://dbpedia.org/ontology/class>:-:<http://dbpedia.org/resource/Eudicots>,,,,,,,,,,,,X
"<http://dbpedia.org/ontology/synonym>:-:""*IR-lacking clade""",,,X,,X,,,,X,,,
<http://dbpedia.org/ontology/order>:-:<http://dbpedia.org/resource/Rosids>,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Eukaryote>,,,,,,,,X,,,,
<http://dbpedia.org/ontology/kingdom>:-:<http://dbpedia.org/resource/Plant>,X,,,X,,,,X,,,,
"<http://dbpedia.org/ontology/synonym>:-:""*Galegeae sensu lato (sensu Polhill, 1981)""",,,,,X,,,,,,,
<http://dbpedia.org/ontology/division>:-:<http://dbpedia.org/resource/Flowering_plant>,X,,,X,,,,X,,,,
"<http://dbpedia.org/ontology/synonym>:-:""*THC""",,,,,X,,,,,,,
"<http://dbpedia.org/ontology/synonym>:-:""*Temperate herbaceous clade""",,,X,,X,,,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Faboideae>,,,,,,X,,,,X,,
"<http://xmlns.com/foaf/0.1/name>:-:""Inverted repeat-lacking clade""@en",,,X,,X,,,,X,,,
<http://dbpedia.org/ontology/family>:-:<http://dbpedia.org/resource/Faboideae>,,,,,,X,,,,X,,
<http://dbpedia.org/ontology/thumbnail>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Galega_officinalis2UME.jpg?width=300>,,X,,,,,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Plant>,X,,,X,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Species>,,,,,,,,X,,,,
<http://dbpedia.org/ontology/order>:-:<http://dbpedia.org/resource/Fabales>,,,,,,,X,,,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Inverted repeat-lacking clade""@en",,,X,,X,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q756>,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q19088>,,,,,,,,X,,,,
