,<http://dbpedia.org/ontology/phylum>,<http://dbpedia.org/ontology/genus>,<http://dbpedia.org/ontology/binomialAuthority>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/kingdom>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/class>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/family>,<http://dbpedia.org/ontology/conservationStatusSystem>,<http://dbpedia.org/ontology/order>
<http://dbpedia.org/ontology/binomialAuthority>:-:<http://dbpedia.org/resource/Rudolf_Kner>,,,X,,,,,,,,,
"<http://xmlns.com/foaf/0.1/name>:-:""Pseudanos trimaculatus""@en",,X,,X,,,,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Fish_of_Peru>,,,,,,X,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Animal>,,,,,X,,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Fish_of_South_America>,,,,,,X,,X,,,,
<http://dbpedia.org/ontology/family>:-:<http://dbpedia.org/resource/Anostomidae>,,,,,,X,,,,X,,
<http://dbpedia.org/ontology/kingdom>:-:<http://dbpedia.org/resource/Animal>,,,,,X,,,X,,,,
"<http://dbpedia.org/ontology/conservationStatusSystem>:-:""iucn3.1""",,,,,,,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Fish>,,,,,,X,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Fish_of_Brazil>,,,,,,X,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Species>,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Eukaryote>,,,,,,,,X,,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Pseudanos trimaculatus""@en",,X,,X,,,,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Fish_of_Argentina>,,,,,,X,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Anostomidae>,,,,,,X,,,,X,,
<http://dbpedia.org/ontology/phylum>:-:<http://dbpedia.org/resource/Chordate>,X,,,,,,,,,,,
<http://dbpedia.org/ontology/order>:-:<http://dbpedia.org/resource/Characiformes>,,,,,,,,,,,,X
<http://dbpedia.org/ontology/genus>:-:<http://dbpedia.org/resource/Pseudanos>,,X,,X,,,,,X,,,
<http://dbpedia.org/ontology/class>:-:<http://dbpedia.org/resource/Actinopterygii>,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q729>,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q152>,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q19088>,,,,,,,,X,,,,
