,<http://dbpedia.org/ontology/division>,<http://dbpedia.org/ontology/binomialAuthority>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/kingdom>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/order>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/family>,<http://dbpedia.org/ontology/class>
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Orchids_of_Laos>,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Species>,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Eukaryote>,,,,,,,X,,,
<http://dbpedia.org/ontology/binomialAuthority>:-:<http://dbpedia.org/resource/Gunnar_Seidenfaden>,,X,,,,,,,,
<http://dbpedia.org/ontology/family>:-:<http://dbpedia.org/resource/Epidendroideae>,,,,,,,,,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Myco-heterotrophic_orchids>,,,,,X,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Orchids_of_Thailand>,,,,,X,,,,,
<http://dbpedia.org/ontology/division>:-:<http://dbpedia.org/resource/Flowering_plant>,X,,,X,X,,X,,,
<http://dbpedia.org/ontology/kingdom>:-:<http://dbpedia.org/resource/Plant>,X,,,X,,,X,,,
"<http://xmlns.com/foaf/0.1/name>:-:""Thaia""@en",,,X,,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Plants_described_in_1975>,X,,,X,X,,X,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Thaia saprophytica""@en",,,X,,,,,X,,
<http://dbpedia.org/ontology/order>:-:<http://dbpedia.org/resource/Asparagales>,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Plant>,X,,,X,,,X,,,
<http://dbpedia.org/ontology/family>:-:<http://dbpedia.org/resource/Orchidaceae>,,,,,,,,,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Neottieae>,,,,,X,,,,X,
<http://dbpedia.org/ontology/family>:-:<http://dbpedia.org/resource/Neottieae>,,,,,X,,,,X,
<http://dbpedia.org/ontology/class>:-:<http://dbpedia.org/resource/Monocotyledon>,,,,,,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,X,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q19088>,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q756>,,,,,,,X,,,
