,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/almaMater>,<http://xmlns.com/foaf/0.1/homepage>,<http://dbpedia.org/ontology/country>,<http://dbpedia.org/ontology/city>,<http://purl.org/dc/terms/subject>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/University>,X,,,,,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoLegalActor>,,,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Organization108008335>,,,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/UniversitiesAndCollegesInBaden-W%C3%BCrttemberg>,,,,,,X,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/EducationalInstitution>,,,,,,X,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/EducationalOrganization>,,,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Institution108053576>,,,,,,X,X,
<http://dbpedia.org/ontology/almaMater>:-:<http://dbpedia.org/resource/Rainer_Arnold>,,X,,,,X,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoLegalActorGeo>,,,,,,,X,
<http://dbpedia.org/ontology/country>:-:<http://dbpedia.org/resource/Germany>,,,,X,,,X,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Ludwigsburg University""@en",X,,,,X,X,X,X
<http://xmlns.com/foaf/0.1/homepage>:-:<http://www.ph-ludwigsburg.de/>,X,,X,,X,X,,X
<http://dbpedia.org/ontology/city>:-:<http://dbpedia.org/resource/Ludwigsburg>,X,,,,X,X,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/SocialGroup107950920>,,,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Abstraction100002137>,,,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#SocialPerson>,,,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Organisation>,,,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/EducationalInstitution108276342>,,,,,,X,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity>,,,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Group100031264>,,,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Organization>,,,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/CollegeOrUniversity>,X,,,,,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/University108286569>,X,,,,,,X,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Ludwigsburg>,X,,,,X,X,X,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Universities_and_colleges_in_Baden-Württemberg>,,,,,,X,X,
"<http://xmlns.com/foaf/0.1/name>:-:""Pädagogische Hochschule Ludwigsburg (Ludwigsburg University of Education)""@en",X,,,,X,X,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q43229>,,,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q3918>,,,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent>,,,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Agent>,,,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,X,X,
