,<http://dbpedia.org/ontology/releaseDate>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/genre>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/runtime>,<http://dbpedia.org/ontology/language>,<http://dbpedia.org/ontology/previousWork>,<http://dbpedia.org/ontology/subsequentWork>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/artist>,<http://dbpedia.org/ontology/recordLabel>
"<http://xmlns.com/foaf/0.1/name>:-:""392""@en",,X,,X,,,X,X,,X,X,
<http://dbpedia.org/ontology/subsequentWork>:-:<http://dbpedia.org/resource/Ear_Fun>,,X,,,,,X,X,,,X,X
"<http://dbpedia.org/ontology/runtime>:-:""2594.0""^^<http://www.w3.org/2001/XMLSchema#double>",,X,,,X,,X,X,,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Album>,,X,,,,,X,X,X,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/MusicAlbum>,,X,X,,,,X,X,X,,X,X
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""392 (album)""@en",,X,,X,,,X,X,X,X,X,X
<http://dbpedia.org/ontology/genre>:-:<http://dbpedia.org/resource/Rock_music>,,X,X,,,,X,X,X,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/MusicalWork>,,X,X,,,,X,X,X,,X,X
<http://dbpedia.org/ontology/previousWork>:-:<http://dbpedia.org/resource/First_Step_(CNBLUE_album)>,,X,,,,,X,X,X,,X,X
<http://dbpedia.org/ontology/recordLabel>:-:<http://dbpedia.org/resource/AI_Entertainment>,,X,,,,,X,X,,,X,X
"<http://dbpedia.org/ontology/releaseDate>:-:""2011-09-01""^^<http://www.w3.org/2001/XMLSchema#date>",X,X,,,,,X,X,,,X,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:CNBLUE_albums>,,X,,,,,X,X,X,,X,X
<http://dbpedia.org/ontology/artist>:-:<http://dbpedia.org/resource/CNBLUE>,,X,,,,,X,X,,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/CreativeWork>,,X,,,,,X,X,X,,X,X
<http://dbpedia.org/ontology/subsequentWork>:-:<http://dbpedia.org/resource/First_Step_(CNBLUE_album)>,,X,,,,,X,X,X,,X,X
<http://dbpedia.org/ontology/language>:-:<http://dbpedia.org/resource/Japanese_language>,,X,,,,X,X,X,,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Work>,,X,,,,,X,X,X,,X,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:2011_albums>,,X,,,,,X,X,X,,X,X
<http://dbpedia.org/ontology/previousWork>:-:<http://dbpedia.org/resource/Ear_Fun>,,X,,,,,X,X,,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q386724>,,X,,,,,X,X,X,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q482994>,,X,,,,,X,X,X,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q2188189>,,X,,,,,X,X,X,,X,X
