,<http://dbpedia.org/ontology/starring>,<http://dbpedia.org/ontology/releaseDate>,<http://dbpedia.org/ontology/country>,<http://dbpedia.org/ontology/genre>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://xmlns.com/foaf/0.1/homepage>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/language>,<http://purl.org/dc/terms/subject>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://dbpedia.org/ontology/completionDate>,<http://dbpedia.org/ontology/location>,<http://dbpedia.org/ontology/network>
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Medium106254669>,,,,,,,,,,X,,,
<http://xmlns.com/foaf/0.1/homepage>:-:<http://www.kbs.co.kr/drama/dramacity/>,,,,X,X,X,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Object100002684>,,,,,,,,,,X,,,
"<http://dbpedia.org/ontology/completionDate>:-:""2008-03-29""^^<http://www.w3.org/2001/XMLSchema#date>",,,,,,,,,,,X,,
<http://dbpedia.org/ontology/starring>:-:<http://dbpedia.org/resource/Lee_Min-ki>,X,,,,,,,,,,,,
<http://dbpedia.org/ontology/starring>:-:<http://dbpedia.org/resource/Lee_Pil-mo>,X,,,,,,,,,,,,
<http://dbpedia.org/ontology/starring>:-:<http://dbpedia.org/resource/Kim_Jeong-hoon>,X,,,,,,,,,,,,
"<http://xmlns.com/foaf/0.1/name>:-:""Drama City""@en",,,,X,X,,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/TelevisionShow>,,,,,,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Television106277280>,,,,,,,,,X,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Korean_Broadcasting_System_television_dramas>,,,X,X,X,,X,X,X,X,,X,X
"<http://dbpedia.org/ontology/releaseDate>:-:""1984-11-30""^^<http://www.w3.org/2001/XMLSchema#date>",,X,,,,,,,,,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Drama City""@en",,,,X,X,,X,,,,,,
<http://dbpedia.org/ontology/location>:-:<http://dbpedia.org/resource/South_Korea>,,,X,,,,,,,,,X,
<http://dbpedia.org/ontology/network>:-:<http://dbpedia.org/resource/Korean_Broadcasting_System>,,,X,,,,,X,X,X,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Whole100003553>,,,,,,,,,,X,,,
<http://dbpedia.org/ontology/starring>:-:<http://dbpedia.org/resource/Kim_Ji-woo>,X,,,,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PhysicalEntity100001930>,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Broadcasting106276697>,,,,,,,,,X,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Artifact100021939>,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Work>,,,,,,,,,,X,,,
<http://dbpedia.org/ontology/starring>:-:<http://dbpedia.org/resource/Ku_Hye-sun>,X,,,,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Instrumentality103575240>,,,,,,,,,,X,,,
<http://dbpedia.org/ontology/country>:-:<http://dbpedia.org/resource/South_Korea>,,,X,,,,,,,,,X,
<http://dbpedia.org/ontology/genre>:-:<http://dbpedia.org/resource/Drama>,,,,X,X,,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Telecommunication106271778>,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/CreativeWork>,,,,,,,,,,X,,,
<http://dbpedia.org/ontology/language>:-:<http://dbpedia.org/resource/Korean_language>,,,X,,,,,X,X,,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q386724>,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q15416>,,,,,,,,,,X,,,
