,<http://dbpedia.org/ontology/abbreviation>,<http://dbpedia.org/ontology/publisher>,<http://dbpedia.org/ontology/frequencyOfPublication>,<http://dbpedia.org/ontology/issn>,<http://dbpedia.org/ontology/impactFactorAsOf>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/coden>,<http://dbpedia.org/ontology/oclc>,<http://dbpedia.org/ontology/firstPublicationYear>,<http://dbpedia.org/ontology/impactFactor>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://purl.org/dc/terms/subject>,<http://xmlns.com/foaf/0.1/homepage>,<http://dbpedia.org/ontology/academicDiscipline>
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:English-language_journals>,,,,,,,,,,,X,,X,,
"<http://dbpedia.org/ontology/oclc>:-:""884609077""",,,,,,,,X,,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Academic_journals_associated_with_learned_and_professional_societies>,,,,,,,,,,,X,,X,,
"<http://dbpedia.org/ontology/frequencyOfPublication>:-:""Monthly""",,,X,,,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/AcademicJournal>,,,,,,,,,,,X,,X,,
"<http://dbpedia.org/ontology/coden>:-:""ICMED9""",,,,,,,X,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/WrittenWork>,,,,,,,,,,,X,,,,
"<http://dbpedia.org/ontology/firstPublicationYear>:-:""1975""^^<http://www.w3.org/2001/XMLSchema#gYear>",,,,,,,,,X,,,,X,,
"<http://dbpedia.org/ontology/issn>:-:""1432-1238""",,,,X,,,,,,,,,,,
<http://dbpedia.org/ontology/academicDiscipline>:-:<http://dbpedia.org/resource/Intensive_care_medicine>,X,,,,,X,,,,,,X,X,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Work>,,,,,,,,,,,X,,,,
<http://xmlns.com/foaf/0.1/homepage>:-:<http://icmjournal.esicm.org/index.html>,,,,,,,,,,,X,,X,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Publications_established_in_1975>,,,,,,,,,X,,,,X,,
"<http://dbpedia.org/ontology/impactFactorAsOf>:-:""2013""^^<http://www.w3.org/2001/XMLSchema#gYear>",,,,,X,,,,,,,,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Intensive Care Medicine (journal)""@en",X,,,,,X,,,,,X,X,X,,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Springer_Science+Business_Media_academic_journals>,,X,,,,,,,,,X,,X,,
"<http://xmlns.com/foaf/0.1/name>:-:""Intensive Care Medicine""@en",X,,,,,X,,,,,,X,X,,X
"<http://dbpedia.org/ontology/issn>:-:""0342-4642""",,,,X,,,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/PeriodicalLiterature>,,,,,,,,,,,X,,,,
<http://dbpedia.org/ontology/publisher>:-:<http://dbpedia.org/resource/Springer_Science+Business_Media>,,X,,,,,,,,,,,X,,
"<http://dbpedia.org/ontology/impactFactor>:-:""5.544""^^<http://www.w3.org/2001/XMLSchema#double>",,,,,,,,,,X,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Monthly_journals>,,,X,,,,,,,,X,,X,,
"<http://dbpedia.org/ontology/abbreviation>:-:""Intensive Care Med.""",X,,,,,X,,,,,,X,X,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/CreativeWork>,,,,,,,,,,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Emergency_medicine_journals>,,,,,,X,,,,,X,X,X,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,,,,X,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q386724>,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q737498>,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q1092563>,,,,,,,,,,,X,,,,
