,<http://dbpedia.org/ontology/musicalBand>,<http://dbpedia.org/ontology/musicalArtist>,<http://dbpedia.org/ontology/releaseDate>,<http://dbpedia.org/ontology/genre>,<http://dbpedia.org/ontology/certification>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/album>,<http://dbpedia.org/ontology/runtime>,<http://dbpedia.org/ontology/producer>,<http://dbpedia.org/ontology/previousWork>,<http://dbpedia.org/ontology/subsequentWork>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/recordLabel>,<http://dbpedia.org/ontology/writer>
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Billy_Joel_songs>,X,X,,,,,,,,X,X,,,X,,X
<http://dbpedia.org/ontology/previousWork>:-:<http://dbpedia.org/resource/You_May_Be_Right_(song)>,,,,,,,,,,X,X,,,X,,
"<http://xmlns.com/foaf/0.1/name>:-:""It's Still Rock and Roll to Me""@en",,,,X,,X,,,,X,X,,X,,,
<http://dbpedia.org/ontology/writer>:-:<http://dbpedia.org/resource/Billy_Joel>,X,X,,,,,,,,X,X,,,X,,X
<http://dbpedia.org/ontology/album>:-:<http://dbpedia.org/resource/Glass_Houses>,,,,,,,X,,,,,,,,,
<http://dbpedia.org/ontology/genre>:-:<http://dbpedia.org/resource/Rock_music>,,,,X,,X,,,,,,,X,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Single>,,,,,,X,,,,,,X,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Columbia_Records_singles>,,,,,,,,,,,,X,,X,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Work>,,,,,,X,,,,,,X,X,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""It's Still Rock and Roll to Me""@en",,,,X,,X,,,,X,X,,X,,,
<http://dbpedia.org/ontology/previousWork>:-:<http://dbpedia.org/resource/Don't_Ask_Me_Why_(Billy_Joel_song)>,X,X,,,,X,,,,X,X,,X,X,,X
<http://dbpedia.org/ontology/genre>:-:<http://dbpedia.org/resource/New_wave_music>,,,,X,,,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/CreativeWork>,,,,,,,,,,,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Billboard_Hot_100_number-one_singles>,,,,,,,,,,X,X,X,,X,,
<http://dbpedia.org/ontology/subsequentWork>:-:<http://dbpedia.org/resource/Don't_Ask_Me_Why_(Billy_Joel_song)>,X,X,,,,X,,,,X,X,,X,X,,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Songs_about_music>,,,,X,,,,,,,,,,X,,
"<http://dbpedia.org/ontology/releaseDate>:-:""1980-05-12""^^<http://www.w3.org/2001/XMLSchema#date>",,,X,,,,,,,,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Songs_written_by_Billy_Joel>,X,X,,,,,,,,X,X,,,X,,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:1980_songs>,,,,,,,,,,,,,,X,,
"<http://dbpedia.org/ontology/runtime>:-:""177.0""^^<http://www.w3.org/2001/XMLSchema#double>",,,,,,,,X,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/MusicalWork>,,,,X,,X,,,,,,X,X,X,,
<http://dbpedia.org/ontology/musicalArtist>:-:<http://dbpedia.org/resource/Billy_Joel>,X,X,,,,,,,,X,X,,,X,,X
"<http://dbpedia.org/ontology/certification>:-:""Platinum (RIAA)""",,,,,X,,,,,,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Singles_certified_platinum_by_the_Recording_Industry_Association_of_America>,,,,,X,X,,,,X,X,X,X,X,,
<http://dbpedia.org/ontology/recordLabel>:-:<http://dbpedia.org/resource/Columbia_Records>,,,,,,,,,,,,,,X,X,
<http://dbpedia.org/ontology/subsequentWork>:-:<http://dbpedia.org/resource/You_May_Be_Right_(song)>,,,,,,,,,,X,X,,,X,,
<http://dbpedia.org/ontology/producer>:-:<http://dbpedia.org/resource/Phil_Ramone>,,,,,,,,,X,,,,,X,,
<http://dbpedia.org/ontology/musicalBand>:-:<http://dbpedia.org/resource/Billy_Joel>,X,X,,,,,,,,X,X,,,X,,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Song_recordings_produced_by_Phil_Ramone>,,,,,,,,,X,,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:1980_singles>,,,,,,,,,,,,X,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q2188189>,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q134556>,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q386724>,,,,,,,,,,,,X,,,,
