,<http://dbpedia.org/ontology/publisher>,<http://dbpedia.org/ontology/editor>,<http://dbpedia.org/ontology/thumbnail>,<http://purl.org/dc/terms/subject>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/headquarter>,<http://xmlns.com/foaf/0.1/homepage>,<http://dbpedia.org/ontology/circulation>,<http://dbpedia.org/ontology/language>,<http://dbpedia.org/ontology/sisterNewspaper>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/format>,<http://xmlns.com/foaf/0.1/depiction>
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PrintMedia106263609>,,,,X,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Object100002684>,,,,,,,,,,,X,,,
<http://dbpedia.org/ontology/format>:-:<http://dbpedia.org/resource/Broadsheet>,,,,,,,,,,,,,X,
<http://xmlns.com/foaf/0.1/depiction>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Politiken_newspaper_logo.svg>,,,X,X,X,,,,,,X,X,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/WrittenWork>,,,,,,,,,,,X,,,
<http://dbpedia.org/ontology/editor>:-:<http://dbpedia.org/resource/Bo_Lidegaard>,,X,,,,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Medium106254669>,,,,,,,,,,,X,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Politiken""@en",,,X,,X,,,,,,,X,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/PeriodicalLiterature>,,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/CreativeWork>,,,,,,,,,,,X,,,
<http://xmlns.com/foaf/0.1/homepage>:-:<http://politiken.dk/>,,,X,,X,,X,,,,,X,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Publication106589574>,,,,,,,,,,,X,,,
