,<http://dbpedia.org/ontology/releaseDate>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/genre>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/producer>,<http://dbpedia.org/ontology/runtime>,<http://dbpedia.org/ontology/album>,<http://dbpedia.org/ontology/previousWork>,<http://dbpedia.org/ontology/subsequentWork>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/artist>,<http://dbpedia.org/ontology/recordLabel>
<http://dbpedia.org/ontology/recordLabel>:-:<http://dbpedia.org/resource/EMI>,,X,,,,,,,,,,,X
<http://dbpedia.org/ontology/previousWork>:-:<http://dbpedia.org/resource/Bow_Down>,,X,,,,,,X,X,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Album>,,,,,,,,,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/MusicalWork>,,X,,,,,,,,X,,,X
<http://dbpedia.org/ontology/producer>:-:<http://dbpedia.org/resource/Fredwreck>,,X,,,X,,,,,X,,,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Gangsta_rap_albums>,,X,X,,,,X,,,X,,,X
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Terrorist Threats""@en",,,,X,,,,,,,X,,X
"<http://xmlns.com/foaf/0.1/name>:-:""Terrorist Threats""@en",,,,X,,,,,,,X,,X
<http://dbpedia.org/ontology/genre>:-:<http://dbpedia.org/resource/Gangsta_rap>,,X,X,,,,X,,,,,,X
<http://dbpedia.org/ontology/recordLabel>:-:<http://dbpedia.org/resource/Hoo-Bangin'_Records>,,X,,,,,,,,X,,,X
<http://dbpedia.org/ontology/genre>:-:<http://dbpedia.org/resource/West_Coast_hip_hop>,,X,X,,,,,,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Work>,,X,,,,,,,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Instrumentality103575240>,,X,,,,,,,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/MusicAlbum>,,X,,,,,,,,X,,,X
"<http://dbpedia.org/ontology/runtime>:-:""3081.0""^^<http://www.w3.org/2001/XMLSchema#double>",,X,,,,X,,,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/2003Albums>,,X,,,,,,,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Mack10Albums>,,X,,,,,,,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Object100002684>,,X,,,,,,,,X,,,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Capitol_Records_albums>,,X,,,,,,,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PhysicalEntity100001930>,,X,,,,,,,,X,,,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Albums_produced_by_Fredwreck>,,X,,,X,,,,,X,,,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Albums_certified_gold_by_the_Recording_Industry_Association_of_America>,,X,,,,,,,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/CreativeWork>,,X,,,,,,,,X,,,X
